episode;steps;reward;average
404;203;-163.4322144313897;49.35970735713148
405;296;287.501516928512;49.623565525548955
406;826;220.5321412238619;48.5418454978078
407;81;-143.13346166983996;44.50432075436857
408;308;300.3209858577708;48.63245379004658
409;243;356.5309645899124;50.26495510399309
410;114;-144.65705290558876;51.528575714027774
411;618;218.6726913495846;56.08370763981325
412;706;148.09380677251875;60.21518907946486
413;243;317.19512647796626;65.19597076471463
414;338;286.98488013728354;70.6047494656344
415;395;229.62768107430023;69.94447230275728
416;755;204.06175169796222;72.89008272065355
417;571;205.04367590245735;77.25961277946035
418;442;286.761749954798;77.83938650664835
419;249;301.4338340931861;77.8759052756172
420;217;-164.50055555302464;73.1360022268379
421;424;243.8091844532879;72.3569625354544
422;701;264.38044103313985;72.03675172011936
423;68;-202.28203983275142;71.84007261058208
424;75;-211.36342482478938;71.78770090854928
425;70;-251.20642166359534;70.56160192926654
426;63;-283.46102818142106;70.07224430031589
427;63;-227.9703390963837;69.8254311458309
428;92;-328.96580738412865;68.88917285339247
429;62;-207.4113977854388;69.01919814653066
430;71;-241.5535551592101;69.02511349535379
431;55;-244.6337501490595;65.02944414307203
432;72;-268.1888610429651;62.35492437511466
433;127;-243.58090567254374;56.967371348901246
434;72;-203.58032361393532;57.97385606018468
435;217;343.69642132236356;62.75078703023185
436;59;-224.35808590175978;57.49739111716229
437;121;-174.09915676972543;52.98318887332747
438;101;-158.72812470567035;48.19572106936111
439;179;-75.78342212427167;44.489761325533124
440;90;-108.24069525894845;40.13474577415478
441;124;-172.40355695128693;35.044147673260674
442;184;-116.02609601891189;35.0000001635747
443;103;-194.4156882965576;33.1207615470358
444;108;-130.28445456170846;29.53299608224036
445;125;-93.92197879854731;25.143046534455507
446;111;-143.0231441632885;20.98203402669011
447;587;178.08987883998316;24.78127670089684
448;517;287.9697298997222;26.446886729277786
449;136;-111.86349206420552;22.541731830868475
450;133;-105.53389242095133;19.05820354483905
451;77;-235.35319035879942;14.082436905888688
452;529;254.02650857101295;13.362519257483584
453;56;-242.6529419690131;12.041886706975623
454;55;-187.5695714556083;6.933059336720137
455;51;-196.16038696261325;5.5443992908224145
456;58;-253.24960230080353;8.661835911729979
457;88;-163.80410689416738;9.627912689161976
458;91;-225.98389983793166;9.942139346857656
459;733;200.65728955292732;14.32317589471216
460;52;-218.41338156317124;13.913247828963637
461;107;-274.308199678879;8.354536391186562
462;90;-280.12499061074755;4.025178469685137
463;568;252.23014883864644;3.418932611210315
464;146;-86.60857529500294;2.20563651652878
465;978;-22.689501874719042;3.6800253227195947
466;109;-88.75594866430404;3.3470450363714472
467;253;316.5447246654732;8.415503130637092
468;601;246.22140150378326;9.53362286552327
469;394;280.4365222064344;14.77279427474821
470;1000;-88.96699976764552;14.707714882698285
471;661;257.04103255105247;15.064029995532259
472;630;232.86904357918834;15.197984927254684
473;84;-212.98673842954125;10.638171213278373
474;79;-259.7659044042273;6.618562509055992
475;176;-190.7885183651802;1.6979660891721096
476;412;277.67328591645094;1.2315448937817428
477;607;260.12711228320677;1.1094560999203862
478;480;294.3180165779691;0.6812140768623647
479;417;297.7110874685214;0.6877371910675049
480;291;299.9136402843035;5.10345376708973
481;524;214.62615245011;9.481065777872043
482;295;304.4966296989831;10.92265939820319
483;251;331.82829386625224;13.383456808984938
484;312;272.5729368130246;17.8410498268281
485;243;332.74596589993644;18.33941760470568
486;805;207.09996995283967;22.09500933846515
487;322;301.8797610537537;27.97335994200124
488;496;280.50986977359366;32.9692188871292
489;280;307.81091313787726;38.01777106741904
490;286;286.4866533235022;43.220811746444625
491;68;-126.20315287934815;43.51371679641151
492;101;-147.76024360626212;42.7554917328377
493;243;304.26648258501183;43.04684424095166
494;211;318.1709555691133;43.29444590299916
495;282;308.6183668595043;43.476615615370854
496;263;289.3792341023859;47.14736611460513
497;1000;-120.0036279276258;42.73597345568378
498;180;-176.21261297974405;37.966706285795524
499;188;-125.42615214674964;33.75701972424496
500;1000;32.315990064505506;35.2961206323734
501;391;253.83920105441223;38.200344563436154
502;204;-114.53099402269854;34.3035925336933
503;176;-137.51648184285833;29.826850009728474
504;202;-176.84467870789072;29.692725366963465
505;826;212.17310980676334;28.93944129574598
506;984;211.16276130094542;28.84574749651681
507;69;-242.87168697337088;27.848365243481506
508;75;-218.00010282825627;22.665154356621237
